N_POINTS,CYCLE_NUMBER,DATA_MODE,DIRECTION,PLATFORM_NUMBER,POSITION_QC,pressure,PRES_ERROR,PRES_QC,salinity,PSAL_ERROR,PSAL_QC,temperature,TEMP_ERROR,TEMP_QC,TIME_QC,latitude,longitude,date,region
121,1,D,A,6902746,1,1162.0,2.4,1,34.97,0.01,1,5.657,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
122,1,D,A,6902746,1,1188.0,2.4,1,34.984,0.01,1,5.582,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
123,1,D,A,6902746,1,1214.0,2.4,1,34.997,0.01,1,5.519,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
124,1,D,A,6902746,1,1238.0,2.4,1,35.005,0.01,1,5.439,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
125,1,D,A,6902746,1,1262.0,2.4,1,35.006,0.01,1,5.351,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
126,1,D,A,6902746,1,1287.0,2.4,1,35.011,0.01,1,5.286,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
127,1,D,A,6902746,1,1313.0,2.4,1,35.016,0.01,1,5.223,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
128,1,D,A,6902746,1,1338.0,2.4,1,35.019,0.01,1,5.159,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
129,1,D,A,6902746,1,1363.0,2.4,1,35.019,0.01,1,5.085,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
130,1,D,A,6902746,1,1388.0,2.4,1,35.02,0.01,1,4.995,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
131,1,D,A,6902746,1,1413.0,2.4,1,35.019,0.01,1,4.874,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
132,1,D,A,6902746,1,1438.0,2.4,1,35.017,0.01,1,4.768,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
133,1,D,A,6902746,1,1464.0,2.4,1,35.013,0.01,1,4.661,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
134,1,D,A,6902746,1,1488.0,2.4,1,35.011,0.01,1,4.615,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
135,1,D,A,6902746,1,1512.0,2.4,1,35.009,0.01,1,4.55,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
136,1,D,A,6902746,1,1538.0,2.4,1,35.008,0.01,1,4.508,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
137,1,D,A,6902746,1,1563.0,2.4,1,35.006,0.01,1,4.471,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
138,1,D,A,6902746,1,1588.0,2.4,1,35.003,0.01,1,4.404,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
139,1,D,A,6902746,1,1613.0,2.4,1,35.001,0.01,1,4.343,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
140,1,D,A,6902746,1,1638.0,2.4,1,34.998,0.01,1,4.288,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
141,1,D,A,6902746,1,1663.0,2.4,1,34.996,0.01,1,4.242,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
142,1,D,A,6902746,1,1688.0,2.4,1,34.993,0.01,1,4.194,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
143,1,D,A,6902746,1,1713.0,2.4,1,34.991,0.01,1,4.147,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
144,1,D,A,6902746,1,1739.0,2.4,1,34.988,0.01,1,4.094,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
145,1,D,A,6902746,1,1763.0,2.4,1,34.985,0.01,1,4.035,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
146,1,D,A,6902746,1,1788.0,2.4,1,34.982,0.01,1,3.986,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
147,1,D,A,6902746,1,1813.0,2.4,1,34.98,0.01,1,3.929,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
148,1,D,A,6902746,1,1838.0,2.4,1,34.977,0.01,1,3.882,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
149,1,D,A,6902746,1,1864.0,2.4,1,34.976,0.01,1,3.84,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
150,1,D,A,6902746,1,1888.0,2.4,1,34.974,0.01,1,3.807,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
151,1,D,A,6902746,1,1913.0,2.4,1,34.973,0.01,1,3.769,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
152,1,D,A,6902746,1,1938.0,2.4,1,34.972,0.01,1,3.744,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
153,1,D,A,6902746,1,1963.0,2.4,1,34.971,0.01,1,3.713,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
154,1,D,A,6902746,1,1989.0,2.4,1,34.972,0.01,1,3.692,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
155,1,D,A,6902746,1,2001.0,2.4,1,34.971,0.01,1,3.672,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
156,2,D,A,6902746,1,3.0,2.4,1,35.179,0.01,1,27.967,0.002,1,1,20.212,-59.99200000000002,2017-07-13 06:53:00,Indian Ocean
157,2,D,A,6902746,1,4.0,2.4,1,35.18,0.01,1,27.967,0.002,1,1,20.212,-59.99200000000002,2017-07-13 06:53:00,Indian Ocean
158,2,D,A,6902746,1,5.0,2.4,1,35.18,0.01,1,27.97,0.002,1,1,20.212,-59.99200000000002,2017-07-13 06:53:00,Indian Ocean
159,2,D,A,6902746,1,6.0,2.4,1,35.18,0.01,1,27.968,0.002,1,1,20.212,-59.99200000000002,2017-07-13 06:53:00,Indian Ocean
160,2,D,A,6902746,1,7.0,2.4,1,35.179,0.01,1,27.971,0.002,1,1,20.212,-59.99200000000002,2017-07-13 06:53:00,Indian Ocean
161,2,D,A,6902746,1,8.0,2.4,1,35.18,0.01,1,27.97,0.002,1,1,20.212,-59.99200000000002,2017-07-13 06:53:00,Indian Ocean
162,2,D,A,6902746,1,9.0,2.4,1,35.18,0.01,1,27.971,0.002,1,1,20.212,-59.99200000000002,2017-07-13 06:53:00,Indian Ocean
163,2,D,A,6902746,1,10.0,2.4,1,35.18,0.01,1,27.968,0.002,1,1,20.212,-59.99200000000002,2017-07-13 06:53:00,Indian Ocean
164,2,D,A,6902746,1,15.0,2.4,1,35.309,0.01,1,27.969,0.002,1,1,20.212,-59.99200000000002,2017-07-13 06:53:00,Indian Ocean
165,2,D,A,6902746,1,25.0,2.4,1,35.831,0.01,1,28.021,0.002,1,1,20.212,-59.99200000000002,2017-07-13 06:53:00,Indian Ocean
166,2,D,A,6902746,1,35.0,2.4,1,36.008,0.01,1,28.006,0.002,1,1,20.212,-59.99200000000002,2017-07-13 06:53:00,Indian Ocean
167,2,D,A,6902746,1,45.0,2.4,1,36.649,0.01,1,27.648,0.002,1,1,20.212,-59.99200000000002,2017-07-13 06:53:00,Indian Ocean
168,2,D,A,6902746,1,56.0,2.4,1,37.063,0.01,1,26.787,0.002,1,1,20.212,-59.99200000000002,2017-07-13 06:53:00,Indian Ocean
169,2,D,A,6902746,1,65.0,2.4,1,37.132,0.01001,1,26.398,0.002,1,1,20.212,-59.99200000000002,2017-07-13 06:53:00,Indian Ocean
170,2,D,A,6902746,1,75.0,2.4,1,37.223,0.01003,1,26.136,0.002,1,1,20.212,-59.99200000000002,2017-07-13 06:53:00,Indian Ocean
171,2,D,A,6902746,1,86.0,2.4,1,37.255,0.01004,1,25.763,0.002,1,1,20.212,-59.99200000000002,2017-07-13 06:53:00,Indian Ocean
